Time period and dataset code row,"Number of people
(thousands)","Economically active  
(thousands)
[note 1]","Employment level 
(thousands) 
[note 2]","Unemployment level 
(thousands) 
[note 2]","Economically inactive 
(thousands) 
[note 3]","Economically active rate 
(%)
","Employment rate
(%)
[note 4]","Unemployment rate 
(%)
[note 4]","Economically inactive rate 
(%)
[note 4]"
Dataset identifier code,MGSL,MGSF,MGRZ,MGSC,MGSI,MGWG,MGSR,MGSX,YBTC
Feb to Apr 1994,"45,064","28,220","25,451","2,769","16,843",62.6,56.5,9.8,37.4
Mar to May 1994,"45,067","28,205","25,455","2,750","16,862",62.6,56.5,9.7,37.4
Apr to Jun 1994,"45,072","28,187","25,451","2,736","16,885",62.5,56.5,9.7,37.5
May to Jul 1994,"45,076","28,221","25,516","2,705","16,855",62.6,56.6,9.6,37.4
Jun to Aug 1994,"45,088","28,208","25,517","2,691","16,879",62.6,56.6,9.5,37.4
Jul to Sep 1994,"45,099","28,198","25,559","2,639","16,901",62.5,56.7,9.4,37.5
Aug to Oct 1994,"45,112","28,169","25,561","2,608","16,943",62.4,56.7,9.3,37.6
Sep to Nov 1994,"45,122","28,149","25,594","2,556","16,973",62.4,56.7,9.1,37.6
Oct to Dec 1994,"45,134","28,121","25,600","2,521","17,014",62.3,56.7,9,37.7
Nov to Jan 1995,"45,146","28,080","25,583","2,497","17,066",62.2,56.7,8.9,37.8
Dec to Feb 1995,"45,157","28,134","25,638","2,496","17,024",62.3,56.8,8.9,37.7
Jan to Mar 1995,"45,169","28,167","25,670","2,497","17,002",62.4,56.8,8.9,37.6
Feb to Apr 1995,"45,182","28,195","25,705","2,490","16,987",62.4,56.9,8.8,37.6
Mar to May 1995,"45,193","28,206","25,733","2,473","16,987",62.4,56.9,8.8,37.6
Apr to Jun 1995,"45,205","28,215","25,770","2,445","16,990",62.4,57,8.7,37.6
May to Jul 1995,"45,216","28,239","25,791","2,448","16,977",62.5,57,8.7,37.5
Jun to Aug 1995,"45,228","28,276","25,838","2,439","16,952",62.5,57.1,8.6,37.5
Jul to Sep 1995,"45,242","28,300","25,852","2,447","16,943",62.6,57.1,8.6,37.4
Aug to Oct 1995,"45,255","28,307","25,869","2,438","16,948",62.5,57.2,8.6,37.5
Sep to Nov 1995,"45,268","28,312","25,891","2,421","16,956",62.5,57.2,8.6,37.5
Oct to Dec 1995,"45,283","28,335","25,982","2,353","16,947",62.6,57.4,8.3,37.4
Nov to Jan 1996,"45,295","28,363","25,987","2,377","16,932",62.6,57.4,8.4,37.4
Dec to Feb 1996,"45,308","28,338","25,981","2,357","16,970",62.5,57.3,8.3,37.5
Jan to Mar 1996,"45,322","28,301","25,970","2,330","17,021",62.4,57.3,8.2,37.6
Feb to Apr 1996,"45,334","28,327","25,977","2,350","17,007",62.5,57.3,8.3,37.5
Mar to May 1996,"45,348","28,349","26,002","2,347","16,999",62.5,57.3,8.3,37.5
Apr to Jun 1996,"45,361","28,350","26,009","2,340","17,012",62.5,57.3,8.3,37.5
May to Jul 1996,"45,375","28,320","26,006","2,314","17,055",62.4,57.3,8.2,37.6
Jun to Aug 1996,"45,388","28,348","26,063","2,285","17,040",62.5,57.4,8.1,37.5
Jul to Sep 1996,"45,401","28,347","26,062","2,285","17,054",62.4,57.4,8.1,37.6
Aug to Oct 1996,"45,415","28,407","26,120","2,287","17,008",62.6,57.5,8.1,37.4
Sep to Nov 1996,"45,428","28,439","26,177","2,262","16,989",62.6,57.6,8,37.4
Oct to Dec 1996,"45,441","28,427","26,198","2,229","17,014",62.6,57.7,7.8,37.4
Nov to Jan 1997,"45,454","28,439","26,258","2,181","17,015",62.6,57.8,7.7,37.4
Dec to Feb 1997,"45,467","28,456","26,324","2,131","17,012",62.6,57.9,7.5,37.4
Jan to Mar 1997,"45,481","28,466","26,381","2,085","17,015",62.6,58,7.3,37.4
Feb to Apr 1997,"45,493","28,480","26,428","2,052","17,013",62.6,58.1,7.2,37.4
Mar to May 1997,"45,507","28,497","26,450","2,047","17,010",62.6,58.1,7.2,37.4
Apr to Jun 1997,"45,520","28,564","26,514","2,051","16,956",62.8,58.2,7.2,37.2
May to Jul 1997,"45,533","28,577","26,493","2,083","16,956",62.8,58.2,7.3,37.2
Jun to Aug 1997,"45,547","28,531","26,509","2,022","17,016",62.6,58.2,7.1,37.4
Jul to Sep 1997,"45,561","28,523","26,572","1,951","17,039",62.6,58.3,6.8,37.4
Aug to Oct 1997,"45,576","28,512","26,603","1,909","17,064",62.6,58.4,6.7,37.4
Sep to Nov 1997,"45,590","28,509","26,622","1,887","17,081",62.5,58.4,6.6,37.5
Oct to Dec 1997,"45,605","28,500","26,636","1,864","17,105",62.5,58.4,6.5,37.5
Nov to Jan 1998,"45,620","28,453","26,632","1,821","17,167",62.4,58.4,6.4,37.6
Dec to Feb 1998,"45,634","28,474","26,658","1,816","17,160",62.4,58.4,6.4,37.6
Jan to Mar 1998,"45,648","28,490","26,677","1,813","17,159",62.4,58.4,6.4,37.6
Feb to Apr 1998,"45,662","28,506","26,707","1,799","17,156",62.4,58.5,6.3,37.6
Mar to May 1998,"45,677","28,495","26,708","1,787","17,182",62.4,58.5,6.3,37.6
Apr to Jun 1998,"45,691","28,505","26,714","1,791","17,186",62.4,58.5,6.3,37.6
May to Jul 1998,"45,706","28,571","26,770","1,800","17,136",62.5,58.6,6.3,37.5
Jun to Aug 1998,"45,724","28,632","26,824","1,807","17,093",62.6,58.7,6.3,37.4
Jul to Sep 1998,"45,743","28,619","26,834","1,786","17,124",62.6,58.7,6.2,37.4
Aug to Oct 1998,"45,760","28,660","26,878","1,782","17,100",62.6,58.7,6.2,37.4
Sep to Nov 1998,"45,778","28,706","26,939","1,768","17,072",62.7,58.8,6.2,37.3
Oct to Dec 1998,"45,796","28,719","26,955","1,764","17,077",62.7,58.9,6.1,37.3
Nov to Jan 1999,"45,815","28,790","27,000","1,790","17,024",62.8,58.9,6.2,37.2
Dec to Feb 1999,"45,833","28,812","27,018","1,794","17,021",62.9,58.9,6.2,37.1
Jan to Mar 1999,"45,851","28,816","27,036","1,780","17,036",62.8,59,6.2,37.2
Feb to Apr 1999,"45,869","28,816","27,042","1,773","17,054",62.8,59,6.2,37.2
Mar to May 1999,"45,888","28,819","27,058","1,760","17,069",62.8,59,6.1,37.2
Apr to Jun 1999,"45,905","28,839","27,095","1,743","17,067",62.8,59,6,37.2
May to Jul 1999,"45,924","28,838","27,115","1,723","17,085",62.8,59,6,37.2
Jun to Aug 1999,"45,945","28,875","27,170","1,705","17,070",62.8,59.1,5.9,37.2
Jul to Sep 1999,"45,965","28,920","27,218","1,702","17,045",62.9,59.2,5.9,37.1
Aug to Oct 1999,"45,986","28,899","27,212","1,687","17,087",62.8,59.2,5.8,37.2
Sep to Nov 1999,"46,007","28,964","27,270","1,693","17,044",63,59.3,5.8,37
Oct to Dec 1999,"46,028","29,006","27,322","1,684","17,022",63,59.4,5.8,37
Nov to Jan 2000,"46,049","29,008","27,307","1,702","17,041",63,59.3,5.9,37
Dec to Feb 2000,"46,069","28,993","27,309","1,685","17,076",62.9,59.3,5.8,37.1
Jan to Mar 2000,"46,090","29,044","27,362","1,682","17,046",63,59.4,5.8,37
Feb to Apr 2000,"46,112","29,061","27,406","1,655","17,051",63,59.4,5.7,37
Mar to May 2000,"46,132","29,081","27,442","1,640","17,051",63,59.5,5.6,37
Apr to Jun 2000,"46,152","29,067","27,468","1,599","17,085",63,59.5,5.5,37
May to Jul 2000,"46,174","29,080","27,528","1,551","17,094",63,59.6,5.3,37
Jun to Aug 2000,"46,200","29,094","27,565","1,529","17,106",63,59.7,5.3,37
Jul to Sep 2000,"46,226","29,103","27,555","1,548","17,123",63,59.6,5.3,37
Aug to Oct 2000,"46,254","29,099","27,528","1,571","17,155",62.9,59.5,5.4,37.1
Sep to Nov 2000,"46,281","29,056","27,516","1,540","17,225",62.8,59.5,5.3,37.2
Oct to Dec 2000,"46,307","29,068","27,549","1,520","17,239",62.8,59.5,5.2,37.2
Nov to Jan 2001,"46,334","29,142","27,637","1,504","17,192",62.9,59.6,5.2,37.1
Dec to Feb 2001,"46,361","29,134","27,618","1,516","17,227",62.8,59.6,5.2,37.2
Jan to Mar 2001,"46,386","29,105","27,623","1,481","17,282",62.7,59.6,5.1,37.3
Feb to Apr 2001,"46,414","29,122","27,663","1,459","17,291",62.7,59.6,5,37.3
Mar to May 2001,"46,440","29,130","27,699","1,431","17,310",62.7,59.6,4.9,37.3
Apr to Jun 2001,"46,467","29,174","27,707","1,468","17,293",62.8,59.6,5,37.2
May to Jul 2001,"46,494","29,171","27,699","1,472","17,322",62.7,59.6,5,37.3
Jun to Aug 2001,"46,514","29,201","27,719","1,483","17,313",62.8,59.6,5.1,37.2
Jul to Sep 2001,"46,541","29,203","27,715","1,487","17,338",62.7,59.6,5.1,37.3
Aug to Oct 2001,"46,568","29,223","27,735","1,487","17,345",62.8,59.6,5.1,37.2
Sep to Nov 2001,"46,594","29,282","27,787","1,495","17,312",62.8,59.6,5.1,37.2
Oct to Dec 2001,"46,621","29,323","27,803","1,520","17,299",62.9,59.6,5.2,37.1
Nov to Jan 2002,"46,648","29,287","27,769","1,518","17,361",62.8,59.5,5.2,37.2
Dec to Feb 2002,"46,675","29,289","27,781","1,508","17,386",62.8,59.5,5.1,37.2
Jan to Mar 2002,"46,701","29,312","27,797","1,515","17,389",62.8,59.5,5.2,37.2
Feb to Apr 2002,"46,728","29,379","27,856","1,522","17,349",62.9,59.6,5.2,37.1
Mar to May 2002,"46,755","29,430","27,888","1,542","17,325",62.9,59.6,5.2,37.1
Apr to Jun 2002,"46,782","29,452","27,933","1,520","17,330",63,59.7,5.2,37
May to Jul 2002,"46,808","29,434","27,908","1,527","17,373",62.9,59.6,5.2,37.1
Jun to Aug 2002,"46,835","29,488","27,949","1,539","17,347",63,59.7,5.2,37
Jul to Sep 2002,"46,861","29,501","27,935","1,566","17,360",63,59.6,5.3,37
Aug to Oct 2002,"46,888","29,568","28,023","1,546","17,319",63.1,59.8,5.2,36.9
Sep to Nov 2002,"46,913","29,591","28,059","1,532","17,323",63.1,59.8,5.2,36.9
Oct to Dec 2002,"46,940","29,626","28,110","1,516","17,315",63.1,59.9,5.1,36.9
Nov to Jan 2003,"46,967","29,561","28,081","1,480","17,406",62.9,59.8,5,37.1
Dec to Feb 2003,"46,993","29,575","28,058","1,517","17,419",62.9,59.7,5.1,37.1
Jan to Mar 2003,"47,020","29,630","28,099","1,531","17,389",63,59.8,5.2,37
Feb to Apr 2003,"47,046","29,659","28,142","1,517","17,387",63,59.8,5.1,37
Mar to May 2003,"47,073","29,684","28,199","1,486","17,388",63.1,59.9,5,36.9
Apr to Jun 2003,"47,099","29,693","28,226","1,467","17,406",63,59.9,4.9,37
May to Jul 2003,"47,125","29,742","28,236","1,506","17,384",63.1,59.9,5.1,36.9
Jun to Aug 2003,"47,155","29,732","28,228","1,504","17,423",63.1,59.9,5.1,36.9
Jul to Sep 2003,"47,186","29,758","28,256","1,502","17,428",63.1,59.9,5,36.9
Aug to Oct 2003,"47,216","29,758","28,285","1,473","17,458",63,59.9,5,37
Sep to Nov 2003,"47,247","29,757","28,295","1,461","17,490",63,59.9,4.9,37
Oct to Dec 2003,"47,277","29,762","28,304","1,457","17,516",63,59.9,4.9,37
Nov to Jan 2004,"47,307","29,841","28,399","1,442","17,466",63.1,60,4.8,36.9
Dec to Feb 2004,"47,338","29,874","28,438","1,436","17,463",63.1,60.1,4.8,36.9
Jan to Mar 2004,"47,368","29,894","28,459","1,434","17,474",63.1,60.1,4.8,36.9
Feb to Apr 2004,"47,398","29,887","28,449","1,437","17,512",63.1,60,4.8,36.9
Mar to May 2004,"47,429","29,900","28,466","1,435","17,529",63,60,4.8,37
Apr to Jun 2004,"47,459","29,907","28,470","1,437","17,552",63,60,4.8,37
May to Jul 2004,"47,488","29,887","28,464","1,423","17,601",62.9,59.9,4.8,37.1
Jun to Aug 2004,"47,529","29,885","28,480","1,405","17,644",62.9,59.9,4.7,37.1
Jul to Sep 2004,"47,570","29,919","28,518","1,401","17,650",62.9,60,4.7,37.1
Aug to Oct 2004,"47,610","29,941","28,544","1,397","17,669",62.9,60,4.7,37.1
Sep to Nov 2004,"47,650","30,034","28,627","1,407","17,616",63,60.1,4.7,37
Oct to Dec 2004,"47,689","30,097","28,673","1,423","17,593",63.1,60.1,4.7,36.9
Nov to Jan 2005,"47,730","30,152","28,726","1,425","17,579",63.2,60.2,4.7,36.8
Dec to Feb 2005,"47,771","30,241","28,794","1,447","17,530",63.3,60.3,4.8,36.7
Jan to Mar 2005,"47,811","30,205","28,789","1,416","17,606",63.2,60.2,4.7,36.8
Feb to Apr 2005,"47,851","30,179","28,759","1,420","17,672",63.1,60.1,4.7,36.9
Mar to May 2005,"47,891","30,215","28,780","1,436","17,676",63.1,60.1,4.8,36.9
Apr to Jun 2005,"47,932","30,240","28,802","1,437","17,692",63.1,60.1,4.8,36.9
May to Jul 2005,"47,972","30,279","28,855","1,424","17,693",63.1,60.1,4.7,36.9
Jun to Aug 2005,"48,008","30,327","28,906","1,420","17,681",63.2,60.2,4.7,36.8
Jul to Sep 2005,"48,044","30,365","28,928","1,437","17,678",63.2,60.2,4.7,36.8
Aug to Oct 2005,"48,079","30,413","28,913","1,500","17,666",63.3,60.1,4.9,36.7
Sep to Nov 2005,"48,115","30,418","28,880","1,538","17,696",63.2,60,5.1,36.8
Oct to Dec 2005,"48,150","30,447","28,880","1,567","17,703",63.2,60,5.1,36.8
Nov to Jan 2006,"48,186","30,485","28,934","1,551","17,701",63.3,60,5.1,36.7
Dec to Feb 2006,"48,221","30,572","28,988","1,584","17,649",63.4,60.1,5.2,36.6
Jan to Mar 2006,"48,257","30,653","29,048","1,604","17,605",63.5,60.2,5.2,36.5
Feb to Apr 2006,"48,292","30,718","29,085","1,633","17,575",63.6,60.2,5.3,36.4
Mar to May 2006,"48,328","30,727","29,063","1,664","17,601",63.6,60.1,5.4,36.4
Apr to Jun 2006,"48,364","30,791","29,106","1,685","17,573",63.7,60.2,5.5,36.3
May to Jul 2006,"48,400","30,838","29,140","1,698","17,562",63.7,60.2,5.5,36.3
Jun to Aug 2006,"48,440","30,914","29,224","1,690","17,526",63.8,60.3,5.5,36.2
Jul to Sep 2006,"48,481","30,877","29,183","1,693","17,604",63.7,60.2,5.5,36.3
Aug to Oct 2006,"48,520","30,880","29,189","1,691","17,640",63.6,60.2,5.5,36.4
Sep to Nov 2006,"48,560","30,877","29,204","1,674","17,683",63.6,60.1,5.4,36.4
Oct to Dec 2006,"48,602","30,915","29,214","1,701","17,687",63.6,60.1,5.5,36.4
Nov to Jan 2007,"48,641","30,905","29,202","1,703","17,737",63.5,60,5.5,36.5
Dec to Feb 2007,"48,682","30,883","29,175","1,708","17,799",63.4,59.9,5.5,36.6
Jan to Mar 2007,"48,722","30,898","29,194","1,704","17,824",63.4,59.9,5.5,36.6
Feb to Apr 2007,"48,762","30,924","29,232","1,692","17,838",63.4,59.9,5.5,36.6
Mar to May 2007,"48,803","30,984","29,314","1,670","17,819",63.5,60.1,5.4,36.5
Apr to Jun 2007,"48,843","30,980","29,322","1,658","17,863",63.4,60,5.4,36.6
May to Jul 2007,"48,883","30,997","29,352","1,645","17,887",63.4,60,5.3,36.6
Jun to Aug 2007,"48,923","31,020","29,376","1,645","17,902",63.4,60,5.3,36.6
Jul to Sep 2007,"48,962","31,069","29,420","1,650","17,892",63.5,60.1,5.3,36.5
Aug to Oct 2007,"49,001","31,100","29,470","1,629","17,902",63.5,60.1,5.2,36.5
Sep to Nov 2007,"49,040","31,159","29,527","1,633","17,881",63.5,60.2,5.2,36.5
Oct to Dec 2007,"49,079","31,184","29,576","1,608","17,895",63.5,60.3,5.2,36.5
Nov to Jan 2008,"49,119","31,231","29,614","1,617","17,888",63.6,60.3,5.2,36.4
Dec to Feb 2008,"49,158","31,298","29,676","1,622","17,860",63.7,60.4,5.2,36.3
Jan to Mar 2008,"49,197","31,306","29,684","1,622","17,891",63.6,60.3,5.2,36.4
Feb to Apr 2008,"49,237","31,373","29,706","1,667","17,863",63.7,60.3,5.3,36.3
Mar to May 2008,"49,276","31,373","29,749","1,625","17,903",63.7,60.4,5.2,36.3
Apr to Jun 2008,"49,315","31,402","29,722","1,680","17,913",63.7,60.3,5.4,36.3
May to Jul 2008,"49,354","31,420","29,696","1,724","17,935",63.7,60.2,5.5,36.3
Jun to Aug 2008,"49,387","31,405","29,612","1,793","17,982",63.6,60,5.7,36.4
Jul to Sep 2008,"49,419","31,420","29,580","1,840","17,999",63.6,59.9,5.9,36.4
Aug to Oct 2008,"49,453","31,410","29,535","1,875","18,043",63.5,59.7,6,36.5
Sep to Nov 2008,"49,485","31,497","29,556","1,941","17,988",63.6,59.7,6.2,36.4
Oct to Dec 2008,"49,517","31,532","29,528","2,003","17,986",63.7,59.6,6.4,36.3
Nov to Jan 2009,"49,550","31,596","29,539","2,057","17,953",63.8,59.6,6.5,36.2
Dec to Feb 2009,"49,582","31,558","29,429","2,128","18,025",63.6,59.4,6.7,36.4
Jan to Mar 2009,"49,615","31,601","29,366","2,235","18,014",63.7,59.2,7.1,36.3
Feb to Apr 2009,"49,648","31,568","29,272","2,296","18,079",63.6,59,7.3,36.4
Mar to May 2009,"49,680","31,550","29,155","2,395","18,130",63.5,58.7,7.6,36.5
Apr to Jun 2009,"49,712","31,536","29,087","2,448","18,176",63.4,58.5,7.8,36.6
May to Jul 2009,"49,745","31,496","29,018","2,478","18,249",63.3,58.3,7.9,36.7
Jun to Aug 2009,"49,782","31,560","29,076","2,484","18,222",63.4,58.4,7.9,36.6
Jul to Sep 2009,"49,820","31,545","29,069","2,475","18,275",63.3,58.3,7.8,36.7
Aug to Oct 2009,"49,857","31,568","29,084","2,484","18,289",63.3,58.3,7.9,36.7
Sep to Nov 2009,"49,894","31,547","29,092","2,455","18,347",63.2,58.3,7.8,36.8
Oct to Dec 2009,"49,932","31,554","29,102","2,453","18,377",63.2,58.3,7.8,36.8
Nov to Jan 2010,"49,968","31,491","29,057","2,434","18,477",63,58.2,7.7,37
Dec to Feb 2010,"50,006","31,520","29,024","2,496","18,485",63,58,7.9,37
Jan to Mar 2010,"50,043","31,539","29,013","2,526","18,504",63,58,8,37
Feb to Apr 2010,"50,080","31,557","29,048","2,510","18,523",63,58,8,37
Mar to May 2010,"50,117","31,651","29,144","2,508","18,466",63.2,58.2,7.9,36.8
Apr to Jun 2010,"50,155","31,680","29,192","2,488","18,475",63.2,58.2,7.9,36.8
May to Jul 2010,"50,192","31,813","29,325","2,488","18,379",63.4,58.4,7.8,36.6
Jun to Aug 2010,"50,230","31,815","29,339","2,476","18,415",63.3,58.4,7.8,36.7
Jul to Sep 2010,"50,268","31,856","29,385","2,470","18,413",63.4,58.5,7.8,36.6
Aug to Oct 2010,"50,307","31,821","29,308","2,513","18,486",63.3,58.3,7.9,36.7
Sep to Nov 2010,"50,344","31,786","29,284","2,502","18,559",63.1,58.2,7.9,36.9
Oct to Dec 2010,"50,383","31,827","29,324","2,503","18,556",63.2,58.2,7.9,36.8
Nov to Jan 2011,"50,420","31,915","29,391","2,524","18,505",63.3,58.3,7.9,36.7
Dec to Feb 2011,"50,460","31,934","29,442","2,492","18,526",63.3,58.3,7.8,36.7
Jan to Mar 2011,"50,497","31,924","29,441","2,483","18,572",63.2,58.3,7.8,36.8
Feb to Apr 2011,"50,535","31,897","29,436","2,462","18,638",63.1,58.2,7.7,36.9
Mar to May 2011,"50,574","31,967","29,466","2,500","18,607",63.2,58.3,7.8,36.8
Apr to Jun 2011,"50,611","31,986","29,447","2,540","18,625",63.2,58.2,7.9,36.8
May to Jul 2011,"50,650","31,901","29,345","2,556","18,748",63,57.9,8,37
Jun to Aug 2011,"50,676","31,909","29,299","2,611","18,767",63,57.8,8.2,37
Jul to Sep 2011,"50,701","31,942","29,281","2,662","18,759",63,57.8,8.3,37
Aug to Oct 2011,"50,727","31,977","29,300","2,677","18,749",63,57.8,8.4,37
Sep to Nov 2011,"50,754","32,038","29,325","2,713","18,715",63.1,57.8,8.5,36.9
Oct to Dec 2011,"50,779","32,031","29,342","2,689","18,748",63.1,57.8,8.4,36.9
Nov to Jan 2012,"50,805","32,021","29,346","2,674","18,784",63,57.8,8.4,37
Dec to Feb 2012,"50,831","32,036","29,381","2,655","18,795",63,57.8,8.3,37
Jan to Mar 2012,"50,857","32,088","29,454","2,635","18,769",63.1,57.9,8.2,36.9
Feb to Apr 2012,"50,883","32,117","29,492","2,625","18,767",63.1,58,8.2,36.9
Mar to May 2012,"50,909","32,163","29,564","2,599","18,745",63.2,58.1,8.1,36.8
Apr to Jun 2012,"50,935","32,244","29,667","2,577","18,691",63.3,58.2,8,36.7
May to Jul 2012,"50,961","32,344","29,744","2,600","18,617",63.5,58.4,8,36.5
Jun to Aug 2012,"50,987","32,329","29,779","2,551","18,658",63.4,58.4,7.9,36.6
Jul to Sep 2012,"51,014","32,297","29,759","2,539","18,717",63.3,58.3,7.9,36.7
Aug to Oct 2012,"51,040","32,279","29,744","2,534","18,762",63.2,58.3,7.9,36.8
Sep to Nov 2012,"51,067","32,381","29,849","2,532","18,686",63.4,58.5,7.8,36.6
Oct to Dec 2012,"51,094","32,443","29,908","2,535","18,652",63.5,58.5,7.8,36.5
Nov to Jan 2013,"51,121","32,427","29,891","2,537","18,694",63.4,58.5,7.8,36.6
Dec to Feb 2013,"51,147","32,399","29,815","2,584","18,748",63.3,58.3,8,36.7
Jan to Mar 2013,"51,174","32,379","29,839","2,540","18,795",63.3,58.3,7.8,36.7
Feb to Apr 2013,"51,201","32,409","29,884","2,525","18,792",63.3,58.4,7.8,36.7
Mar to May 2013,"51,228","32,372","29,861","2,511","18,856",63.2,58.3,7.8,36.8
Apr to Jun 2013,"51,255","32,453","29,938","2,515","18,802",63.3,58.4,7.7,36.7
May to Jul 2013,"51,281","32,487","29,994","2,492","18,794",63.4,58.5,7.7,36.6
Jun to Aug 2013,"51,313","32,528","30,024","2,504","18,785",63.4,58.5,7.7,36.6
Jul to Sep 2013,"51,345","32,589","30,106","2,483","18,756",63.5,58.6,7.6,36.5
Aug to Oct 2013,"51,378","32,627","30,223","2,404","18,751",63.5,58.8,7.4,36.5
Sep to Nov 2013,"51,410","32,642","30,302","2,340","18,768",63.5,58.9,7.2,36.5
Oct to Dec 2013,"51,442","32,648","30,290","2,357","18,795",63.5,58.9,7.2,36.5
Nov to Jan 2014,"51,475","32,669","30,329","2,340","18,806",63.5,58.9,7.2,36.5
Dec to Feb 2014,"51,507","32,749","30,492","2,256","18,758",63.6,59.2,6.9,36.4
Jan to Mar 2014,"51,539","32,744","30,532","2,212","18,795",63.5,59.2,6.8,36.5
Feb to Apr 2014,"51,571","32,801","30,640","2,161","18,770",63.6,59.4,6.6,36.4
Mar to May 2014,"51,604","32,855","30,743","2,112","18,749",63.7,59.6,6.4,36.3
Apr to Jun 2014,"51,636","32,765","30,705","2,061","18,871",63.5,59.5,6.3,36.5
May to Jul 2014,"51,668","32,712","30,702","2,010","18,956",63.3,59.4,6.1,36.7
Jun to Aug 2014,"51,702","32,758","30,786","1,972","18,944",63.4,59.5,6,36.6
Jul to Sep 2014,"51,735","32,794","30,833","1,961","18,941",63.4,59.6,6,36.6
Aug to Oct 2014,"51,769","32,802","30,848","1,953","18,967",63.4,59.6,6,36.6
Sep to Nov 2014,"51,803","32,774","30,850","1,924","19,028",63.3,59.6,5.9,36.7
Oct to Dec 2014,"51,837","32,814","30,944","1,870","19,023",63.3,59.7,5.7,36.7
Nov to Jan 2015,"51,869","32,862","31,003","1,858","19,008",63.4,59.8,5.7,36.6
Dec to Feb 2015,"51,903","32,963","31,122","1,840","18,940",63.5,60,5.6,36.5
Jan to Mar 2015,"51,936","32,982","31,156","1,826","18,955",63.5,60,5.5,36.5
Feb to Apr 2015,"51,970","32,942","31,129","1,813","19,028",63.4,59.9,5.5,36.6
Mar to May 2015,"52,003","32,906","31,057","1,848","19,098",63.3,59.7,5.6,36.7
Apr to Jun 2015,"52,037","32,959","31,110","1,849","19,078",63.3,59.8,5.6,36.7
May to Jul 2015,"52,071","33,010","31,188","1,822","19,061",63.4,59.9,5.5,36.6
Jun to Aug 2015,"52,104","33,000","31,220","1,779","19,104",63.3,59.9,5.4,36.7
Jul to Sep 2015,"52,137","33,093","31,333","1,760","19,044",63.5,60.1,5.3,36.5
Aug to Oct 2015,"52,170","33,152","31,436","1,715","19,019",63.5,60.3,5.2,36.5
Sep to Nov 2015,"52,203","33,200","31,513","1,687","19,003",63.6,60.4,5.1,36.4
Oct to Dec 2015,"52,236","33,227","31,540","1,688","19,009",63.6,60.4,5.1,36.4
Nov to Jan 2016,"52,269","33,225","31,541","1,684","19,044",63.6,60.3,5.1,36.4
Dec to Feb 2016,"52,302","33,255","31,555","1,700","19,047",63.6,60.3,5.1,36.4
Jan to Mar 2016,"52,336","33,259","31,572","1,687","19,077",63.5,60.3,5.1,36.5
Feb to Apr 2016,"52,369","33,269","31,603","1,666","19,099",63.5,60.3,5,36.5
Mar to May 2016,"52,402","33,360","31,712","1,648","19,042",63.7,60.5,4.9,36.3
Apr to Jun 2016,"52,434","33,390","31,747","1,643","19,045",63.7,60.5,4.9,36.3
May to Jul 2016,"52,468","33,414","31,779","1,635","19,054",63.7,60.6,4.9,36.3
Jun to Aug 2016,"52,490","33,479","31,811","1,668","19,011",63.8,60.6,5,36.2
Jul to Sep 2016,"52,513","33,428","31,810","1,618","19,085",63.7,60.6,4.8,36.3
Aug to Oct 2016,"52,535","33,407","31,794","1,613","19,128",63.6,60.5,4.8,36.4
Sep to Nov 2016,"52,558","33,409","31,808","1,602","19,149",63.6,60.5,4.8,36.4
Oct to Dec 2016,"52,581","33,430","31,845","1,585","19,151",63.6,60.6,4.7,36.4
Nov to Jan 2017,"52,603","33,421","31,847","1,573","19,183",63.5,60.5,4.7,36.5
Dec to Feb 2017,"52,626","33,410","31,860","1,550","19,216",63.5,60.5,4.6,36.5
Jan to Mar 2017,"52,648","33,474","31,946","1,527","19,175",63.6,60.7,4.6,36.4
Feb to Apr 2017,"52,671","33,476","31,956","1,520","19,196",63.6,60.7,4.5,36.4
Mar to May 2017,"52,694","33,500","32,010","1,489","19,195",63.6,60.7,4.4,36.4
Apr to Jun 2017,"52,716","33,550","32,065","1,485","19,166",63.6,60.8,4.4,36.4
May to Jul 2017,"52,739","33,590","32,133","1,457","19,149",63.7,60.9,4.3,36.3
Jun to Aug 2017,"52,763","33,556","32,104","1,452","19,206",63.6,60.8,4.3,36.4
Jul to Sep 2017,"52,787","33,492","32,063","1,429","19,295",63.4,60.7,4.3,36.6
Aug to Oct 2017,"52,811","33,517","32,094","1,422","19,294",63.5,60.8,4.2,36.5
Sep to Nov 2017,"52,834","33,650","32,213","1,437","19,184",63.7,61,4.3,36.3
Oct to Dec 2017,"52,858","33,617","32,154","1,463","19,242",63.6,60.8,4.4,36.4
Nov to Jan 2018,"52,881","33,692","32,241","1,451","19,190",63.7,61,4.3,36.3
Dec to Feb 2018,"52,906","33,683","32,264","1,419","19,223",63.7,61,4.2,36.3
Jan to Mar 2018,"52,929","33,760","32,343","1,417","19,169",63.8,61.1,4.2,36.2
Feb to Apr 2018,"52,953","33,805","32,389","1,416","19,148",63.8,61.2,4.2,36.2
Mar to May 2018,"52,978","33,803","32,395","1,408","19,175",63.8,61.1,4.2,36.2
Apr to Jun 2018,"53,001","33,749","32,386","1,362","19,252",63.7,61.1,4,36.3
May to Jul 2018,"53,025","33,765","32,408","1,358","19,260",63.7,61.1,4,36.3
Jun to Aug 2018,"53,047","33,773","32,410","1,363","19,274",63.7,61.1,4,36.3
Jul to Sep 2018,"53,070","33,808","32,431","1,377","19,262",63.7,61.1,4.1,36.3
