Time period and dataset code row,"Number of people
(thousands)","Economically active  
(thousands)
[note 1]","Employment level 
(thousands) 
[note 2]","Unemployment level 
(thousands) 
[note 2]","Economically inactive 
(thousands) 
[note 3]","Economically active rate 
(%)
","Employment rate
(%)
[note 4]","Unemployment rate 
(%)
[note 4]","Economically inactive rate 
(%)
[note 4]"
Dataset identifier code,MGSL,MGSF,MGRZ,MGSC,MGSI,MGWG,MGSR,MGSX,YBTC
May to Jul 1976,"41,492","26,195","24,776","1,419","15,298",63.1,59.7,5.4,36.9
Jun to Aug 1976,"41,512","26,196","24,772","1,425","15,315",63.1,59.7,5.4,36.9
Jul to Sep 1976,"41,535","26,198","24,768","1,430","15,336",63.1,59.6,5.5,36.9
Aug to Oct 1976,"41,558","26,203","24,771","1,432","15,355",63.1,59.6,5.5,36.9
Sep to Nov 1976,"41,581","26,210","24,779","1,431","15,371",63,59.6,5.5,37
Oct to Dec 1976,"41,604","26,220","24,788","1,432","15,384",63,59.6,5.5,37
Nov to Jan 1977,"41,627","26,232","24,797","1,435","15,395",63,59.6,5.5,37
Dec to Feb 1977,"41,650","26,236","24,800","1,436","15,414",63,59.5,5.5,37
Jan to Mar 1977,"41,674","26,239","24,803","1,436","15,434",63,59.5,5.5,37
Feb to Apr 1977,"41,697","26,238","24,801","1,437","15,459",62.9,59.5,5.5,37.1
Mar to May 1977,"41,720","26,240","24,799","1,441","15,480",62.9,59.4,5.5,37.1
Apr to Jun 1977,"41,743","26,254","24,802","1,452","15,489",62.9,59.4,5.5,37.1
May to Jul 1977,"41,766","26,267","24,800","1,467","15,499",62.9,59.4,5.6,37.1
Jun to Aug 1977,"41,789","26,285","24,804","1,481","15,504",62.9,59.4,5.6,37.1
Jul to Sep 1977,"41,813","26,302","24,809","1,493","15,511",62.9,59.3,5.7,37.1
Aug to Oct 1977,"41,837","26,312","24,813","1,498","15,526",62.9,59.3,5.7,37.1
Sep to Nov 1977,"41,862","26,319","24,818","1,502","15,542",62.9,59.3,5.7,37.1
Oct to Dec 1977,"41,886","26,321","24,822","1,499","15,565",62.8,59.3,5.7,37.2
Nov to Jan 1978,"41,910","26,326","24,833","1,493","15,584",62.8,59.3,5.7,37.2
Dec to Feb 1978,"41,934","26,328","24,844","1,484","15,606",62.8,59.2,5.6,37.2
Jan to Mar 1978,"41,958","26,336","24,862","1,474","15,622",62.8,59.3,5.6,37.2
Feb to Apr 1978,"41,982","26,343","24,874","1,469","15,639",62.7,59.3,5.6,37.3
Mar to May 1978,"42,006","26,352","24,886","1,466","15,654",62.7,59.2,5.6,37.3
